ID,Name,Address,Type
C800354,6. W. 71 ST. OWNERS CORP.,"6 W. 71ST ST., NEW YORK, NY, 10023",COOPERATIVE
C810070,159-00 RIVERSIDE DRIVE WEST,"159-00 RIVERSIDE DRIVE WEST, NEW YORK, NY, 10032",COOPERATIVE
C810568,340 WEST 55TH. ST. A/K/A THE SHERWOOD,"340 W. 55TH ST., NEW YORK, NY, 10019",COOPERATIVE
C830378,55 7TH AVENUE TENANTS CORP.,"55 7TH AVENUE, BROOKLYN, NY, 11217",COOPERATIVE
C840334,71 WASHINGTON PLACE,"71 WASHINGTON PLACE, NEW YORK, NY, 10011",COOPERATIVE
C860524,245 FOREST AVENUE,"245 FOREST AVENUE, STATEN ISLAND, NY, 10301",COOPERATIVE
C870360,3 ROOT AVENUE(CPS-1),"3 ROOT AVENUE, CHAUTAUQUA, NY, 14722",COOPERATIVE
C870577,108-24 71ST AVENUE,"108-24 71ST AVENUE, FOREST HILLS, NY",COOPERATIVE
CD810021,PARSONAGE POND,"PARSONAGE POND, SAGAPONACK, NY, 11962",CONDOMINIUM
CD880397,6 WEST 107TH STREET (RS-3 FILED 07/23/90),"6 WEST 107TH STREET, NEW YORK, NY, 10025",CONDOMINIUM
CD890150,EAU GALLIE HARBOUR CLUB(CPS-1),"905 NORTH HARBOUR CITY BLVD, MELBOURNE, FL",CONDOMINIUM
CD900069,EISENHOWER PROFESSIONAL CONDO,"2870 HEMPSTEAD TURNPIKE, LEVITTOWN, NY, 11756",CONDOMINIUM
H870206,FIELDSTONE POND,"PUTNAM LAKE RD, HAMLET, NY",HOMEOWNERS ASSOCIATION
H910083,TOWN & COUNTRY HOA IV,"RICHMOND HILL ROAD & RICHMOND HILL AVNEUE, STATEN ISLAND, NY, 10314",HOMEOWNERS ASSOCIATION
H920052,DESERT MOUNTAIN OWNERS ASSOC-MOUNTAIN SKYLINE,"10333 ROCKAWAY HILLS, SCOTTSDALE, AZ, 85262",HOMEOWNERS ASSOCIATION
C810543,437 THIRD STREET,"437 THIRD ST., BROOKLYN, NY, 11211",COOPERATIVE
C850668,"77-02,77-10 34TH AVENUE","77-02,77-10 34TH AVENUE, NEW YORK, NY, 11372",COOPERATIVE
C860336,414 ALBEMARLE ROAD,"414 ALBEMARLE ROAD, BROOKLYN, NY, 11211",COOPERATIVE
CD850176,HUDSON TOWER AT BATTERY PARK,"320-340/350 ALBANY STREET, NEW YORK, NY, 10006",CONDOMINIUM
CD890442,DELAWARE TOWER CONDOMINIUM/1088 DELAWARE AVE.,"1088 DELAWARE AVENUE, BUFFALO, NY, 14209",CONDOMINIUM
CD900160,71 PARK AVENUE CONDOMINIUM,"71 PARK AVENUE, NEW YORK, NY, 10016",CONDOMINIUM
H850096,SAND BROOK H.O.A  (RESUBMIT),"WHITEFACE INN ROAD, LAKE PLACID, NY, 12946",HOMEOWNERS ASSOCIATION
H870014,CROSBY CLOSE,"465 MAMARONECK ROAD, SCARSDALE, NY, 10583",HOMEOWNERS ASSOCIATION
H870100,GREENWOOD AT OAKDALE HOA,"RACE PLACE, TOWN OF ISLIP, NY, 11769",HOMEOWNERS ASSOCIATION
H880062,NORTHSLOPE III AT SHAWNEE MOUNTAIN,"SKYVIEW DRIVE, SHAWNEE-ON-DELAWARE, PA, 18356",HOMEOWNERS ASSOCIATION
H880167,\TEMPLE COURT H O A,"CHURCH AVENUE AND TEMPLE COURT, STATEN ISLAND, NY, 10314",HOMEOWNERS ASSOCIATION
H890040,WESTMINSTER VILLAGE (CPS-1),"RTE 20/ AKA EAST GENESEE ST, AUBURN, NY, 13021",HOMEOWNERS ASSOCIATION
H900007,"PINEGROVE PARK ASSON., INC. PHASE I","COUNTRY CLUB LANE, HAMBURG, NY, 14075",HOMEOWNERS ASSOCIATION
H920005,LAKE BERNADETTE COMMUNITY ASSOCIATION (CPS-1),"5425 LINKS LANE, ZEPHYRHILLS, FL, 33541",HOMEOWNERS ASSOCIATION
H960001,"EMERSONIA HOMEOWNERS ASSOCIATION, INC","130 COVERLY AVENUE, STATEN ISLAND, NY, 10306",HOMEOWNERS ASSOCIATION
C810476,20 WEST 38TH STREET,"20 WEST 38TH STREET, NEW YORK, NY, 10016",COOPERATIVE
C820108,73-37 AUSTIN STREET,"73-37 AUSTIN STREET, FOREST HILLS, NY, 11375",COOPERATIVE
