zuerich.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019106004 900 1800 6048000 3600
eit.zuerich.	3600	in	ns	ns.hostpoint.ch.
eit.zuerich.	3600	in	ns	ns2.hostpoint.ch.
eit.zuerich.	3600	in	ns	ns3.hostpoint.ch.
ekz.zuerich.	3600	in	ds	30540 13 2 D7B682835AF0AA3C5F21E6F84A4BAE5AFB6BC7823A90145C3E779C12FF6BE4ED
ekz.zuerich.	3600	in	ns	dns1.swizzonic.ch.
ekz.zuerich.	3600	in	ns	dns2.swizzonic.ch.
ekz.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. mFPLBX1dwJF3wtqIIGrRtn4IfVF6NjBzmhrtE+yxsAyX7MFYDsjl5jReNYwcEF5s40i0ljI4cAuY6s+BojbcHg0cdnQiZ3eaN9qtq/3IElme0208jVP4nAoWo/29FUV57YhtKekJc/0r0HdmSjlx7vWW+MHVvbckqbSWBp84YIs=
elektriker.zuerich.	3600	in	ns	ns.hostpoint.ch.
elektriker.zuerich.	3600	in	ns	ns2.hostpoint.ch.
elektriker.zuerich.	3600	in	ns	ns3.hostpoint.ch.
elektro-baer.zuerich.	3600	in	ns	ns1.registrant-verification.ispapi.net.
elektro-baer.zuerich.	3600	in	ns	ns2.registrant-verification.ispapi.net.
elektro-baer.zuerich.	3600	in	ns	ns3.registrant-verification.ispapi.net.
elektro.zuerich.	3600	in	ns	ns.hostpoint.ch.
elektro.zuerich.	3600	in	ns	ns2.hostpoint.ch.
elektro.zuerich.	3600	in	ns	ns3.hostpoint.ch.
elektrobaer.zuerich.	3600	in	ns	ns1.registrant-verification.ispapi.net.
elektrobaer.zuerich.	3600	in	ns	ns2.registrant-verification.ispapi.net.
elektrobaer.zuerich.	3600	in	ns	ns3.registrant-verification.ispapi.net.
elektrokontrollen.zuerich.	3600	in	ns	ns6.wixdns.net.
elektrokontrollen.zuerich.	3600	in	ns	ns7.wixdns.net.
elektromaterial.zuerich.	3600	in	ns	ns.hostpoint.ch.
elektromaterial.zuerich.	3600	in	ns	ns2.hostpoint.ch.
elektromaterial.zuerich.	3600	in	ns	ns3.hostpoint.ch.
elektromobilitaet.zuerich.	3600	in	ns	ns1223.ispapi.net.
elektromobilitaet.zuerich.	3600	in	ns	ns2179.ispapi.net.
elektromobilitaet.zuerich.	3600	in	ns	ns3183.ispapi.net.
elektromonteur.zuerich.	3600	in	ns	ns.hostpoint.ch.
elektromonteur.zuerich.	3600	in	ns	ns2.hostpoint.ch.
elektromonteur.zuerich.	3600	in	ns	ns3.hostpoint.ch.
elektronotfall.zuerich.	3600	in	ns	ns.hostpoint.ch.
elektronotfall.zuerich.	3600	in	ns	ns2.hostpoint.ch.
elektronotfall.zuerich.	3600	in	ns	ns3.hostpoint.ch.
elizza.zuerich.	3600	in	ns	ns1.digitalocean.com.
elizza.zuerich.	3600	in	ns	ns2.digitalocean.com.
elizza.zuerich.	3600	in	ns	ns3.digitalocean.com.
elmira.zuerich.	3600	in	ns	ns.hostpoint.ch.
elmira.zuerich.	3600	in	ns	ns2.hostpoint.ch.
elmira.zuerich.	3600	in	ns	ns3.hostpoint.ch.
emobility.zuerich.	3600	in	ns	ns.hostpoint.ch.
emobility.zuerich.	3600	in	ns	ns2.hostpoint.ch.
emobility.zuerich.	3600	in	ns	ns3.hostpoint.ch.
emotions.zuerich.	3600	in	ns	ns1.myemotions.cloud.
emotions.zuerich.	3600	in	ns	ns2.myemotions.cloud.
endo.zuerich.	3600	in	ns	ns05.ch-dns.net.
endo.zuerich.	3600	in	ns	ns06.ch-dns.net.
energiearchitekten.zuerich.	3600	in	ns	ns.hostpoint.ch.
energiearchitekten.zuerich.	3600	in	ns	ns2.hostpoint.ch.
energiearchitekten.zuerich.	3600	in	ns	ns3.hostpoint.ch.
energieberatung.zuerich.	3600	in	ns	ns1223.ispapi.net.
energieberatung.zuerich.	3600	in	ns	ns2179.ispapi.net.
energieberatung.zuerich.	3600	in	ns	ns3183.ispapi.net.
engagementring.zuerich.	3600	in	ns	ns1.digitalocean.com.
engagementring.zuerich.	3600	in	ns	ns2.digitalocean.com.
engagementring.zuerich.	3600	in	ns	ns3.digitalocean.com.
eq9gin73icqbl6bvq0nkfgd7h45pjp59.zuerich.	900	in	nsec3	1 1 0 - FG5BBP2OQ3ERD2S7AOT6DNH601B3SK2V NS DS RRSIG
eq9gin73icqbl6bvq0nkfgd7h45pjp59.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. pupfFjCUSQXiJvDmZPCZjwf/wuvZDDGzmBgyzeebEshnnneCflD0vYB+QeXcxLdcXWJetUhx/NWfQ1we+ybd2VP3uzIv58bwTXmpwoyz0X9GHUlQ7K0UcFYopPHc5M92AMpEtSL2d7tmRaO1tp2fMfwP7YT6R3szCj4qt/Y8JQ0=
erb.zuerich.	3600	in	ns	ns-1065.awsdns-05.org.
erb.zuerich.	3600	in	ns	ns-1611.awsdns-09.co.uk.
erb.zuerich.	3600	in	ns	ns-376.awsdns-47.com.
erb.zuerich.	3600	in	ns	ns-725.awsdns-26.net.
ergon-informatik.zuerich.	3600	in	ns	ns1223.ispapi.net.
ergon-informatik.zuerich.	3600	in	ns	ns2179.ispapi.net.
ergon-informatik.zuerich.	3600	in	ns	ns3183.ispapi.net.
ergon.zuerich.	3600	in	ns	ns1223.ispapi.net.
ergon.zuerich.	3600	in	ns	ns2179.ispapi.net.
ergon.zuerich.	3600	in	ns	ns3183.ispapi.net.
ergotherapie.zuerich.	3600	in	ds	4320 13 2 5EEF0FBF495439CC765A218457C64C6041410674E90E6B425128BDEF74B4A7A1
ergotherapie.zuerich.	3600	in	ns	ns41.infomaniak.com.
ergotherapie.zuerich.	3600	in	ns	ns42.infomaniak.com.
ergotherapie.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. ZZ+cjPJ+d256SH2YtpKQdkrY0LTt+puMmmnlNVxbhH3TPSGXXFuP2Z/N7Kd2mhkElXkSykKlzaPztP16k1xNkSjtzT+WZCFvXXlZpXsoQm4hKBYa3mLquBpKgHqdu5qvey1Gsry+T12oTG2VZv5ld/Q3I94HxJTL7HqghTdrmgo=
erotikfactory.zuerich.	3600	in	ds	6176 13 2 7AFF6438EDCAFD2349407F53AEEC90A1673BE05F0DABE53FB2BB31909ED85497
erotikfactory.zuerich.	3600	in	ns	ns.hostpoint.ch.
erotikfactory.zuerich.	3600	in	ns	ns2.hostpoint.ch.
erotikfactory.zuerich.	3600	in	ns	ns3.hostpoint.ch.
erotikfactory.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. cR5tvcdksQpHbCaPmW/8fCWevpIsMSYuH11IuS3Ht1huasfb4OP/f5UQUfT2W3kSbPg3f/Fbn8mKPr5BFJSuCzTKxnu9+bC1xkhFfMo15mLtCauxQ+HuBB1VWCv3e12bkBqM2G1JgkWVmF9bZ7Vpv9sTCe6FqJCTgWAIKxotfds=
errex.zuerich.	3600	in	ns	ns.hostpoint.ch.
errex.zuerich.	3600	in	ns	ns2.hostpoint.ch.
errex.zuerich.	3600	in	ns	ns3.hostpoint.ch.
eskimo.zuerich.	3600	in	ns	ns1.hiho.ch.
eskimo.zuerich.	3600	in	ns	ns2.hiho.ch.
esports.zuerich.	3600	in	ns	ns1.digitalocean.com.
esports.zuerich.	3600	in	ns	ns2.digitalocean.com.
eth.zuerich.	3600	in	ns	ns1.brandshelter.com.
eth.zuerich.	3600	in	ns	ns2.brandshelter.de.
eth.zuerich.	3600	in	ns	ns3.brandshelter.info.
eth.zuerich.	3600	in	ns	ns4.brandshelter.net.
eth.zuerich.	3600	in	ns	ns5.brandshelter.us.
etsacousine.zuerich.	3600	in	ns	ns.hostpoint.ch.
etsacousine.zuerich.	3600	in	ns	ns2.hostpoint.ch.
etsacousine.zuerich.	3600	in	ns	ns3.hostpoint.ch.
ewz.zuerich.	3600	in	ns	ns1.parking.amenic.ch.
ewz.zuerich.	3600	in	ns	ns2.parking.amenic.ch.
excellent.zuerich.	3600	in	ns	ns.hostpoint.ch.
excellent.zuerich.	3600	in	ns	ns2.hostpoint.ch.
excellent.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fachaerztezentrum-glatt.zuerich.	3600	in	ns	ns1223.ispapi.net.
fachaerztezentrum-glatt.zuerich.	3600	in	ns	ns2179.ispapi.net.
fachaerztezentrum-glatt.zuerich.	3600	in	ns	ns3183.ispapi.net.
fachakademie-asthetische-medizinische-kosmetik.zuerich.	3600	in	ns	ns.hostpoint.ch.
fachakademie-asthetische-medizinische-kosmetik.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fachakademie-asthetische-medizinische-kosmetik.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fachanwalt-erbrecht.zuerich.	3600	in	ns	ns1.hoststar.hosting.
fachanwalt-erbrecht.zuerich.	3600	in	ns	ns2.hoststar.hosting.
fachanwalt-strafrecht.zuerich.	3600	in	ns	ns1.hoststar.hosting.
fachanwalt-strafrecht.zuerich.	3600	in	ns	ns2.hoststar.hosting.
fachschule-medizinische-kosmetik.zuerich.	3600	in	ns	ns.hostpoint.ch.
fachschule-medizinische-kosmetik.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fachschule-medizinische-kosmetik.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fahrlehrer.zuerich.	3600	in	ns	ns0.wixdns.net.
fahrlehrer.zuerich.	3600	in	ns	ns1.wixdns.net.
fahrschule-zuerichsee.zuerich.	3600	in	ns	ns.hostpoint.ch.
fahrschule-zuerichsee.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fahrschule-zuerichsee.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fahrschule.zuerich.	3600	in	ns	ns1.dali.sui-inter.net.
fahrschule.zuerich.	3600	in	ns	ns2.dali.sui-inter.net.
fahrschulen.zuerich.	3600	in	ds	54141 13 2 D31CB5217243C251C144A671F2A52EFACCB38CCD5C2A97AA74623D41D8E823B2
fahrschulen.zuerich.	3600	in	ns	dns1.swizzonic.ch.
fahrschulen.zuerich.	3600	in	ns	dns2.swizzonic.ch.
fahrschulen.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. LR3bTq70wB/JdlBOt5wg64oYph5kJJOupjZc28mAwh26bNM830Om/URmz2gUWQzI79KEWosDVkUt8Sru5hucqAI/oa8cv3URl09lIU8wirApsK/7kiRbKQGUJS1guE57k/wuGzSZAH4TWCjDI8kFoaI/symYjlPMOaa9BKJfccY=
faltenspezialist.zuerich.	3600	in	ns	dns11.firestorm.ch.
faltenspezialist.zuerich.	3600	in	ns	dns12.firestorm-isp.com.
faltenspezialist.zuerich.	3600	in	ns	dns13.firestorm-isp.com.
faltenspezialist.zuerich.	3600	in	ns	dns14.firestorm.ch.
familienangehorige.zuerich.	3600	in	ns	ns.hostpoint.ch.
familienangehorige.zuerich.	3600	in	ns	ns2.hostpoint.ch.
familienangehorige.zuerich.	3600	in	ns	ns3.hostpoint.ch.
familienbuero.zuerich.	3600	in	ns	ns.hostpoint.ch.
familienbuero.zuerich.	3600	in	ns	ns2.hostpoint.ch.
familienbuero.zuerich.	3600	in	ns	ns3.hostpoint.ch.
familyoffice.zuerich.	3600	in	ns	ns.hostpoint.ch.
familyoffice.zuerich.	3600	in	ns	ns2.hostpoint.ch.
familyoffice.zuerich.	3600	in	ns	ns3.hostpoint.ch.
famlienkulturbuero.zuerich.	3600	in	ns	ns.hostpoint.ch.
famlienkulturbuero.zuerich.	3600	in	ns	ns2.hostpoint.ch.
famlienkulturbuero.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fassadenreinigung.zuerich.	3600	in	ns	ns1.nhost.ch.
fassadenreinigung.zuerich.	3600	in	ns	ns2.nhost.ch.
faz-glatt.zuerich.	3600	in	ns	ns1223.ispapi.net.
faz-glatt.zuerich.	3600	in	ns	ns2179.ispapi.net.
faz-glatt.zuerich.	3600	in	ns	ns3183.ispapi.net.
fc.zuerich.	3600	in	ns	ns1.dns-parking.com.
fc.zuerich.	3600	in	ns	ns2.dns-parking.com.
felix.zuerich.	3600	in	ns	ns.hostpoint.ch.
felix.zuerich.	3600	in	ns	ns2.hostpoint.ch.
felix.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fg5bbp2oq3erd2s7aot6dnh601b3sk2v.zuerich.	900	in	nsec3	1 1 0 - FHN2O9U8U3N64061Q2NT3PTQL909PG6F NS DS RRSIG
fg5bbp2oq3erd2s7aot6dnh601b3sk2v.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. AEqaNfhMdxQEkCzTRU+QhcE28kQLjpEbdAltdbOi2o8VBtTKDQnpZ6R2DgV4rCrgOFw0ICTZK47gWWgh/H3WA2hXzasYffpKnjWv9t8EF2d9mv2966ZSVdqJqL5ajtwuzvJVZQ+YxDo1hK5+6Bg2z1mk4T3h0c6nMXG3iBcRMr4=
fhn2o9u8u3n64061q2nt3ptql909pg6f.zuerich.	900	in	nsec3	1 1 0 - FMOL5U2G8N0T5RPPUOU712TBID051TC0 NS DS RRSIG
fhn2o9u8u3n64061q2nt3ptql909pg6f.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. qz2mEwL1PTaK/SWSF9sDs89Sp7fXS/aSzKCsjc9AuprgjarRDC4iA5o0XKBch1YKHiBNavTBe9k0+4g8eDctjLIfMfOnw7eCDAMf7Dosqo2nQLV+XbxyuZqMr9NzQL+Mi11Mg0qajVKVpYnOm2IjYJiWiQDA2ZgL/wgerWRKpbM=
fiduvision.zuerich.	3600	in	ns	ns12.wixdns.net.
fiduvision.zuerich.	3600	in	ns	ns13.wixdns.net.
filmcoopi.zuerich.	3600	in	ds	18708 13 2 7F8888ECF2B7C01B622DCCEEFA584CF4AC5C39E8C27DF4E03194E0122033C858
filmcoopi.zuerich.	3600	in	ns	ns41.infomaniak.com.
filmcoopi.zuerich.	3600	in	ns	ns42.infomaniak.com.
filmcoopi.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. cVIweC991maijaQUrnapBNCfBgYvCxZGKfUQamoXslemfsw8WaKvTl8uASaeWIqF8DFYl7CajJiSsn2/mReK07hr0oe+6bT5O1OVgO2p7Lt7XwPhmgtlpltWUsS+cC3dsXBI7Ch3KiF7r0Ywh0EBTWhBWF+4vbNMBPE+iP04/YA=
filmfestival.zuerich.	3600	in	ns	ns.hostpoint.ch.
filmfestival.zuerich.	3600	in	ns	ns2.hostpoint.ch.
filmfestival.zuerich.	3600	in	ns	ns3.hostpoint.ch.
finanzberater.zuerich.	3600	in	ns	freedns1.registrar-servers.com.
finanzberater.zuerich.	3600	in	ns	freedns2.registrar-servers.com.
finanzberater.zuerich.	3600	in	ns	freedns3.registrar-servers.com.
finanzberater.zuerich.	3600	in	ns	freedns4.registrar-servers.com.
finanzberater.zuerich.	3600	in	ns	freedns5.registrar-servers.com.
finanzberatung.zuerich.	3600	in	ns	freedns1.registrar-servers.com.
finanzberatung.zuerich.	3600	in	ns	freedns2.registrar-servers.com.
finanzberatung.zuerich.	3600	in	ns	freedns3.registrar-servers.com.
finanzberatung.zuerich.	3600	in	ns	freedns4.registrar-servers.com.
finanzberatung.zuerich.	3600	in	ns	freedns5.registrar-servers.com.
fintech.zuerich.	3600	in	ns	ns.hostpoint.ch.
fintech.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fintech.zuerich.	3600	in	ns	ns3.hostpoint.ch.
firmendomizil.zuerich.	3600	in	ns	ns.hostpoint.ch.
firmendomizil.zuerich.	3600	in	ns	ns2.hostpoint.ch.
firmendomizil.zuerich.	3600	in	ns	ns3.hostpoint.ch.
firmenfeier.zuerich.	3600	in	ns	ns77.tophost.ch.
firmenfeier.zuerich.	3600	in	ns	ns78.tophost.ch.
firmenmantel.zuerich.	3600	in	ns	ns.hostpoint.ch.
firmenmantel.zuerich.	3600	in	ns	ns2.hostpoint.ch.
firmenmantel.zuerich.	3600	in	ns	ns3.hostpoint.ch.
firstresponder.zuerich.	3600	in	ns	ns.hostpoint.ch.
firstresponder.zuerich.	3600	in	ns	ns2.hostpoint.ch.
firstresponder.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fischerei.zuerich.	3600	in	ns	ns.hostpoint.ch.
fischerei.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fischerei.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fjv.zuerich.	3600	in	ns	ns.hostpoint.ch.
fjv.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fjv.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fk.zuerich.	3600	in	ns	ns1.brandshelter.com.
fk.zuerich.	3600	in	ns	ns2.brandshelter.de.
fk.zuerich.	3600	in	ns	ns3.brandshelter.info.
fk.zuerich.	3600	in	ns	ns4.brandshelter.net.
fk.zuerich.	3600	in	ns	ns5.brandshelter.us.
flughafebeck.zuerich.	3600	in	ds	20232 13 2 5531AD278EBEEC42657000494FE3E42BC6A956E14489D772E3EA6F414788774E
flughafebeck.zuerich.	3600	in	ns	ns41.infomaniak.com.
flughafebeck.zuerich.	3600	in	ns	ns42.infomaniak.com.
flughafebeck.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. YyXFgk+HsyqjPYjX7tciR3om0k4RRgaed6opNBeEBKjmyNoiguOAB/wdAKHW1I7AR9mPbQPfPGcijwhSQX9m0i7IVwz5I1GKwBjIeBGEZuzimWzxTArL7WFxSgC2utPVPpa/7rDakM0GiN7/oBZTvjnQrjuubbpgnXR2t8ugn+k=
flughafen.zuerich.	3600	in	ns	ns.inwx.ch.
flughafen.zuerich.	3600	in	ns	ns2.inwx.ch.
flughafen.zuerich.	3600	in	ns	ns3.inwx.eu.
flughafenpolizei.zuerich.	3600	in	ns	ns.hostpoint.ch.
flughafenpolizei.zuerich.	3600	in	ns	ns2.hostpoint.ch.
flughafenpolizei.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fmol5u2g8n0t5rppuou712tbid051tc0.zuerich.	900	in	nsec3	1 1 0 - FUVQDV5JREPGV3S6OGNHDG9PHPQ08I89 NS DS RRSIG
fmol5u2g8n0t5rppuou712tbid051tc0.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. oxvUU0qrnh1nT+v8E+yS8Tbep98SpADYew12apT35iui0vvzsjn+NITQSKq86cqZyQ6/o515lOjHvoOxrfQlKkm4xyd5Kwx7TMpVRkIZsaPJhVMMKF8Fe+N5wQOO/5763bRIgojvtwZHBCrxt1Hfk770pd0Ablfk9xyD7+5ETUg=
fokus.zuerich.	3600	in	ns	dns1.swizzonic.ch.
fokus.zuerich.	3600	in	ns	dns2.swizzonic.ch.
foodtech.zuerich.	3600	in	ns	ns.hostpoint.ch.
foodtech.zuerich.	3600	in	ns	ns2.hostpoint.ch.
foodtech.zuerich.	3600	in	ns	ns3.hostpoint.ch.
for.zuerich.	3600	in	ns	ns.hostpoint.ch.
for.zuerich.	3600	in	ns	ns2.hostpoint.ch.
for.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fotobox.zuerich.	3600	in	ns	ns.hostpoint.ch.
fotobox.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fotobox.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fotograf.zuerich.	3600	in	ns	ns.hostpoint.ch.
fotograf.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fotograf.zuerich.	3600	in	ns	ns3.hostpoint.ch.
foundations.zuerich.	3600	in	ns	ns.hostpoint.ch.
foundations.zuerich.	3600	in	ns	ns2.hostpoint.ch.
foundations.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fourpoints.zuerich.	3600	in	ns	dns1.cscdns.net.
fourpoints.zuerich.	3600	in	ns	dns2.cscdns.net.
franzos.zuerich.	3600	in	ns	ns.hostpoint.ch.
franzos.zuerich.	3600	in	ns	ns2.hostpoint.ch.
franzos.zuerich.	3600	in	ns	ns3.hostpoint.ch.
frauenarztzuerich.zuerich.	3600	in	ns	ns.hostpoint.ch.
frauenarztzuerich.zuerich.	3600	in	ns	ns2.hostpoint.ch.
frauenarztzuerich.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fraugerold.zuerich.	3600	in	ns	ns.hostpoint.ch.
fraugerold.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fraugerold.zuerich.	3600	in	ns	ns3.hostpoint.ch.
freelancer.zuerich.	3600	in	ns	paris.ns.cloudflare.com.
freelancer.zuerich.	3600	in	ns	ricardo.ns.cloudflare.com.
freestyleacademy.zuerich.	3600	in	ns	ns10.wixdns.net.
freestyleacademy.zuerich.	3600	in	ns	ns11.wixdns.net.
frei.zuerich.	3600	in	ds	20640 13 2 1656F5631C4CA8F70199D845F500E85D0F057EB849CE22B26F562D594F0E73CC
frei.zuerich.	3600	in	ns	nsany1.infomaniak.com.
frei.zuerich.	3600	in	ns	nsany2.infomaniak.com.
frei.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. tfdEmJpN9cMgY8KkZ6AE5WZf5vivvMi67C8Sxmj1iJQ3TLtr6+k7K6nigDGR1O8HNA2ar5lJaiiYPf7qa/qtz160S36h0ZwF36406ql7axbZB4uExysqbbOXiGr1Gs/8hA/TrQ4xQJLbqG6aDvB5x0Ct5/OViYDCFkpAyxeguHc=
freiesgymnasium.zuerich.	3600	in	ns	ns.hostpoint.ch.
freiesgymnasium.zuerich.	3600	in	ns	ns2.hostpoint.ch.
freiesgymnasium.zuerich.	3600	in	ns	ns3.hostpoint.ch.
front.zuerich.	3600	in	ns	a.zeit-world.com.
front.zuerich.	3600	in	ns	c.zeit-world.org.
front.zuerich.	3600	in	ns	d.zeit-world.net.
front.zuerich.	3600	in	ns	f.zeit-world.co.uk.
funk.zuerich.	3600	in	ns	ns1.registrant-verification.ispapi.net.
funk.zuerich.	3600	in	ns	ns2.registrant-verification.ispapi.net.
funk.zuerich.	3600	in	ns	ns3.registrant-verification.ispapi.net.
funkalarmanlagen.zuerich.	3600	in	ns	ns.hostpoint.ch.
funkalarmanlagen.zuerich.	3600	in	ns	ns2.hostpoint.ch.
funkalarmanlagen.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fusein.zuerich.	3600	in	ns	ns.hostpoint.ch.
fusein.zuerich.	3600	in	ns	ns2.hostpoint.ch.
fusein.zuerich.	3600	in	ns	ns3.hostpoint.ch.
futun.zuerich.	3600	in	ns	ns.hostpoint.ch.
futun.zuerich.	3600	in	ns	ns2.hostpoint.ch.
futun.zuerich.	3600	in	ns	ns3.hostpoint.ch.
fuvqdv5jrepgv3s6ognhdg9phpq08i89.zuerich.	900	in	nsec3	1 1 0 - FVIS85SPIT50I5ATJ3V93RPI0CMEAHDL NS DS RRSIG
fuvqdv5jrepgv3s6ognhdg9phpq08i89.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. FpYBQ9SSbT9ZDKF4kJShbj5dXcQk583HesULwCOox1xVc0g0C0KkaIasecJ618KZsV9TjZxqkI7cfH80EGuA1O4VjcFOhRe3xSkSbBDKmDAZK3nZOqmrvSdG0UVILkEl29q7Hj0Zji5rrC6lh+e/XQoWNw5HRI0j/Ah4VhZhpf8=
fvis85spit50i5atj3v93rpi0cmeahdl.zuerich.	900	in	nsec3	1 1 0 - G1IPJ5ACVNS61V8NN2B101ARRLILJ5HT NS DS RRSIG
fvis85spit50i5atj3v93rpi0cmeahdl.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. vmlzN6m9TXHqH9Ym1lIsScUesYNlXb8ADiFt0015tJRA/FODCD2PLcpSewzspH3N6ReIVRbChwBBj6dL5DSSs0Zlxu7DXExAX8cwAv4LuhHhIW5wmavyoSrKJZq7sKDWKvQCN35yE0lIeEvyC52tuuxhjPhOpwka1IhyKv7xUuk=
fw.zuerich.	3600	in	ns	ns.ch-meta.net.
fw.zuerich.	3600	in	ns	ns2.ch-meta.net.
fw.zuerich.	3600	in	ns	ns3.ch-meta.net.
g1ipj5acvns61v8nn2b101arrlilj5ht.zuerich.	900	in	nsec3	1 1 0 - G6616JMC6UPLH6JALFC2N7V1FFC6CK4E NS DS RRSIG
g1ipj5acvns61v8nn2b101arrlilj5ht.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. hwMq6WkWFwDy1n5r6r1iGSCgM2nCeLQlqBbyje2DwEziH9wC+3jS/aUUHWsikN8AJQ1A2EaXrJvNUAUKEGoW6CJQqidLmP2qpsDEiZ1B3YSIKFxPDdX5hZuUgf/rVzL+wNMbO/40bFu3fwvpX31+dmo2uz8t8pJaOEjKkEEn2gM=
g38.zuerich.	3600	in	ns	ns0.wixdns.net.
g38.zuerich.	3600	in	ns	ns1.wixdns.net.
g6616jmc6uplh6jalfc2n7v1ffc6ck4e.zuerich.	900	in	nsec3	1 1 0 - GAUOP0AEMBQ58726TBINJU4NMF7AN78B NS DS RRSIG
g6616jmc6uplh6jalfc2n7v1ffc6ck4e.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. wcCfp60SbbjVGU2a2PrCrlaQHLPOKwLHeRvGwKndxRRAf9SUAKksyyoN56OaSJTO6HQg0TPfWWPJi2tk4iISbm9Y47r0J6CyCDCyXy78uATGX4s3o57f6GZObcYNy8nRjjwBJe4jENAjZCcsWjbjQNcFLmnp3P3C0tdXSGWq7oo=
gabathuler.zuerich.	3600	in	ns	ns.hostpoint.ch.
gabathuler.zuerich.	3600	in	ns	ns2.hostpoint.ch.
gabathuler.zuerich.	3600	in	ns	ns3.hostpoint.ch.
gaertner.zuerich.	3600	in	ds	9317 13 2 3CD14EB73E0716E9E6C5F1A75AB5DB8E49CE67EFFEAE5D9E2D8BF2FC04D1865A
gaertner.zuerich.	3600	in	ns	ns41.infomaniak.com.
gaertner.zuerich.	3600	in	ns	ns42.infomaniak.com.
gaertner.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. FWJFm8WbT0msAUWh7CXWlVXdVZeDcXeRcodgOtBzNvkgFCsIb7QoN1ehQ2EbQLubY5ieURdZu3Z+hEtYpAOoTZeiL415siiIvsWsP/xwzr1WBmwydipqK2O/LGu/l4blU+L5xTbwzlb9HNtC3B8FMHJlgNaDjd5ViUSVaMbwLYU=
galerie.zuerich.	3600	in	ns	ns.hostpoint.ch.
galerie.zuerich.	3600	in	ns	ns2.hostpoint.ch.
galerie.zuerich.	3600	in	ns	ns3.hostpoint.ch.
galleries.zuerich.	3600	in	ns	ns.hostpoint.ch.
galleries.zuerich.	3600	in	ns	ns2.hostpoint.ch.
galleries.zuerich.	3600	in	ns	ns3.hostpoint.ch.
game.zuerich.	3600	in	ns	ns.hostpoint.ch.
game.zuerich.	3600	in	ns	ns2.hostpoint.ch.
game.zuerich.	3600	in	ns	ns3.hostpoint.ch.
gamer-pc.zuerich.	3600	in	ns	ns.hostpoint.ch.
gamer-pc.zuerich.	3600	in	ns	ns2.hostpoint.ch.
gamer-pc.zuerich.	3600	in	ns	ns3.hostpoint.ch.
gaming-pc.zuerich.	3600	in	ns	ns.hostpoint.ch.
gaming-pc.zuerich.	3600	in	ns	ns2.hostpoint.ch.
gaming-pc.zuerich.	3600	in	ns	ns3.hostpoint.ch.
garage-ochsner.zuerich.	3600	in	ns	ns.hostpoint.ch.
garage-ochsner.zuerich.	3600	in	ns	ns2.hostpoint.ch.
