zuerich.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019106004 900 1800 6048000 3600
1logcb9k6gsb1vjsmoi7qg35tjorj98t.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. uZHwj5aOEQY2MUEmy6+H7QqrWnvEGsP+XrBoMXVSQxegPGb5a+BDBto5kKCWsJvpRJfPqK9bhtHf12UUIBez3Xb8KgLh5AGmuiOnBx+EnpGdtBT6v6kuilm0e5YYE4rEVAScSEttNfjViaNh2wK2d7NaT22raOu5ZaOb7D9/65M=
1m9qbfoiqo8408r0p002ne2plqonkpln.zuerich.	900	in	nsec3	1 1 0 - 1NAP62R2R5RTEFQ41RCDOOFO9A9ODHN3 NS DS RRSIG
1m9qbfoiqo8408r0p002ne2plqonkpln.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ObhBu0D+fneUClasso1QMkfIGgurM5fbxYZlDfcVRj14wTWn6rpKr5LQBeAuX28puowm8r8/BsfFVM1Ms0rZ+OnnrSgigeH3DMZicjB5TVT/3VPIPX/BMT6JE/FA3JvaL2JhSf5dJiltcNEPIlON5EqXYGvn6X+NiEwcjeYBKzY=
1nap62r2r5rtefq41rcdoofo9a9odhn3.zuerich.	900	in	nsec3	1 1 0 - 1NPAR299V9TK30OONKAEDIG4JU3LF700 NS DS RRSIG
1nap62r2r5rtefq41rcdoofo9a9odhn3.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. AzPff5e3/mUh4vyVXeomyuUe52Bt6gJEjvt4dwbquhv+ozN4/6O6Fbf2Nk3LXVDGKd+VfQCaHm8HtztIx34rltG+15OZ/Q8anaKI9eH8o35SybAC569A3NwbviMrDXZmtZtVo4Zp2qB/EJaK0Mpm/RIJ369PIZZiOFnCgCnJWc4=
1npar299v9tk30oonkaedig4ju3lf700.zuerich.	900	in	nsec3	1 1 0 - 1OOCUT90OBMUFMD3C7NDVAILB86821UA NS DS RRSIG
1npar299v9tk30oonkaedig4ju3lf700.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. svMr5FySJa5wlWRs/+obdBsWbgp0J/5lpyb4r1/i2bzswRm2egqaRxoZFNQMIqizxKHulnswx2aLDpg7T+9X8uqw+D6Jax9vGBz0P+j63fVBppqpwcadvTugWAcCsL0RwJ5tZJv4QTIX1FvdpZ8ZtcuL93Jg8BNBxBoLxp1OS+U=
1oocut90obmufmd3c7ndvailb86821ua.zuerich.	900	in	nsec3	1 1 0 - 23KI29O24ENCJ1AMN5R2AFDU314E3K3D NS DS RRSIG
1oocut90obmufmd3c7ndvailb86821ua.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. DyoQ/komDD4gBH9iFu67m/QCTGCWt0/wa0lngIXsILkV4LyeRbrRuEq0mhq+VRkA0K1kFgyCqPQnCSLaIudsfnsTK+ODahG+1+LQe6myDzBzUeMPXj8H1y0tTO1ZkGuwDUUaG0qFTlIz0SbZr3K5+gjmdLj56zQitFjQbTEYEV4=
23ki29o24encj1amn5r2afdu314e3k3d.zuerich.	900	in	nsec3	1 1 0 - 276MGRUNCP01OV1VU3GKVVAKFEOU382B NS DS RRSIG
23ki29o24encj1amn5r2afdu314e3k3d.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. QZOw5d/afPj1mpdR4CKouNt0w6YqScVssIh86fTiDWltFDPyl6f2KYDLIRP+lugeVWJQR8Fi3/CW3YEEQkWwSMlzAxnsL8JqI0yCtjgX5LkQ0iZLeM96YIUQcwF3krxvH4QYhyRrKCvDzt+8UTpwHYR/j5jM+4frhYgsVGfTPig=
276mgruncp01ov1vu3gkvvakfeou382b.zuerich.	900	in	nsec3	1 1 0 - 2BN9DF21Q0OC9GRH98P6QGOAP4F6L9M0 NS DS RRSIG
276mgruncp01ov1vu3gkvvakfeou382b.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. njPGciiaGrq5f/dMFzQiULIiE4AFDoNzME3QARSpOZHgnKFWrjQP4eAj3zjttFML0xfFKQ2DESOnsgRAW7IoeQxVrrzEXFvcWTPrDiBm4smGsjpBWGsQhPNC3spfFQk/gO5YszSbctVoJHFYZjUtZwwE8mpe4dm5Tr9NVKHLovw=
2bn9df21q0oc9grh98p6qgoap4f6l9m0.zuerich.	900	in	nsec3	1 1 0 - 2DKTLKJIRFENBSS9NP3FF0GPVHU7END6 NS DS RRSIG
2bn9df21q0oc9grh98p6qgoap4f6l9m0.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. tubAjFx2SNi04uQH+r0Z5p0tDSVekaNAU4biSLBFrEhWOGtSE+43XR6oQe710H3ZhSSTMRRO69eDB+ChRR0/+vYB+1Zd0mcXeAaKEnsyDcQBNpmOWeNnz2JYyyQZOfSFlBVUA1mQDzUby8xrvNdEv3Sh24EGXRf6cOGUP6JzK1M=
2dktlkjirfenbss9np3ff0gpvhu7end6.zuerich.	900	in	nsec3	1 1 0 - 2L1ST8UIOTCRM2DHJ6FFEBMO9QNK7RND NS DS RRSIG
2dktlkjirfenbss9np3ff0gpvhu7end6.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ooNRmjalzvvc9i++Uus7CqfMHWEEMf6b4hv6BH8OsJuskc+un7hev1+Wh94/JUUFnw5U30oSNjbvZKAIvci5PHMKXBp9jMuzSx7vfgK/dMbX0nTzkfxAvbQuz2G0CDoJHHQqJCjRBW4Gkh173raljFzzDrEmyIte8jsF48NqrEc=
2l1st8uiotcrm2dhj6ffebmo9qnk7rnd.zuerich.	900	in	nsec3	1 1 0 - 2LUPIMHM401DIFU73Q402C80IE442L52 NS DS RRSIG
2l1st8uiotcrm2dhj6ffebmo9qnk7rnd.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ltIQELS4TdJH3EwTuylHi0xtGTAs97Js6b3nBvWAAuDyZgw3weCIUEr2r8GBSfJ/Cmi02YcoRlujGo9iRdWCRMdo8sBsu1eH+WjPDMAH5bYrs5sbPv+iW4kB1VDv0iSwLScWJOV4KWiTkiIxzd960d+1ttUFNzMAkC8lcDewM1E=
2lupimhm401difu73q402c80ie442l52.zuerich.	900	in	nsec3	1 1 0 - 347IBUVHJM5LS1LUJS14KE8CSDOGHQKP NS DS RRSIG
2lupimhm401difu73q402c80ie442l52.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. VFfjsTjRb8CJqCqhTxb/w3baBL7zDakcJBiC9Kd1Zy54I18Bpy2RfyB3xz7lGGTS3P4E6OdLr7UGbFhnIzo8gmmoEjbo1y9lJuB0rbfNqZp2laIPjNdjjXq+bJqewhjASXGdJcRwG7VxDbfOBffaoaR3R0ZWTDBO1HEJtlVN5JU=
347ibuvhjm5ls1lujs14ke8csdoghqkp.zuerich.	900	in	nsec3	1 1 0 - 35RG84UPJQ1LUAH0NRVOKVS2R7K4QV4I NS DS RRSIG
347ibuvhjm5ls1lujs14ke8csdoghqkp.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. fjWGM6wMPNuLCRARwkfrH3LGV0Q2+i+7slC/1zg7wJZHghfrgNUWEvkF6s20o04ukaduBYsdLQ2BLNTRP6caumanqZDGzXxkgH6rhTG1rbV4hJGwTSViP3k5WtP+yXJ4e+BBR9pvpi0VAAbG3vmjLSWHAW9NhpO54uNeFMhOZ34=
35rg84upjq1luah0nrvokvs2r7k4qv4i.zuerich.	900	in	nsec3	1 1 0 - 36OAGNEEK0O90HE2RM7LT1KLFG326GEN NS DS RRSIG
35rg84upjq1luah0nrvokvs2r7k4qv4i.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. w84RiEv+i7Bhsl2eivshe+E5sTpUOynJFWmiGuW6ZybAXvSXZ2jXoPp6GrsKfYXZIl/G2XP+DIlLvlGkQis4s3ZiY42DTYV+89Odb+4sOQL2uVkkyeO43jvZ8fMJMThATeTqJyNXboPRSozEbViJsqzJHyqlpK9u9kx2w+kee9Q=
36oagneek0o90he2rm7lt1klfg326gen.zuerich.	900	in	nsec3	1 1 0 - 3F5BJJMK4K6R0E2K7HMOVLF12GG32UPH NS DS RRSIG
36oagneek0o90he2rm7lt1klfg326gen.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. JLOXROEV4UMJvplVR+7PcZrcQZfFrGR2fqpiRTHcefQfiVVxUxrKXitIyUPfEbDeru9hXgo3W/ohFfKXvIO4iJ3yZHvJofLfVRjLguXwTVqSZbB5O0vq5DUGxK87yGmevmJNaVeqwnv/+0q3lwSMYosIcMj1L/G/U/RrV+QmQD8=
3f5bjjmk4k6r0e2k7hmovlf12gg32uph.zuerich.	900	in	nsec3	1 1 0 - 438PUQUPBEPU849BU5133QFDQGN86M63 NS DS RRSIG
3f5bjjmk4k6r0e2k7hmovlf12gg32uph.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. NDvLLL9XIqoGO52WbZb2cltTMz0qjXpv3K6hBuTmyX5SC0hOJlbVocailr9aJN19hsb2ZWdkiUOjTtNpFqmwn0WcgfSqLKOdeMr5k60kS2hegSzOyXKDRtaMdWjqtUKuC7GShdSuXKptNe13Dc3CtA7dFBoGlwnTueRfNM31XQA=
438puqupbepu849bu5133qfdqgn86m63.zuerich.	900	in	nsec3	1 1 0 - 43OBK4SHVEDLL92FTDJD2LCMRURIJLHT NS DS RRSIG
438puqupbepu849bu5133qfdqgn86m63.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. bOFUTlV8k8dcBIVX8eYtJVwv8quZ23ref4MA/Kzr4DKYH9XWftIW/3yVnspnTNCKWCqwOEYGYcawR5Cq+uAsGNBNtME514OZHSqTtRX1JutYwMzK/etTmNkm6N3YO05kgKe2GrX+dahECvR6EpWlNBTyrF3MtQr7z/A9tm4WzKA=
43obk4shvedll92ftdjd2lcmrurijlht.zuerich.	900	in	nsec3	1 1 0 - 497A1LH6C55UJKTCOVNOP5K3CB7E1N05 NS DS RRSIG
43obk4shvedll92ftdjd2lcmrurijlht.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. HFF65BHXQvMy7jVmVX+6o8hv09d7rzXqJBvqN2TxbUEdY/hofAu6+MYAaBFg2o3wDNkmgxoXiAbWjGUL+oXo8+75LZzE/Tmr1qc9bnj0uw93Z/GaHrr1FQ+3Lcbhv+YzYaOUug7+N2kZoyxjQCIQfpnNWHD6StgJNnCuOAnWjzM=
497a1lh6c55ujktcovnop5k3cb7e1n05.zuerich.	900	in	nsec3	1 1 0 - 4KFE0K8BDK7KNP1VUFNTFFUVL4GE8N8R NS DS RRSIG
497a1lh6c55ujktcovnop5k3cb7e1n05.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. nGBBFAMeGSc1cLc2eJwwDCLFs5xBMnTtqcdAJNHvvU2o1mMQwN/a2q4dG3LJYE6tAcRczsXDCB62mY6V1/+FvTL6Ysqtviu92zJSdD5/gLAy54b9m6JWAuxbZkSJBHU8VVIgFtiLnkeDEWRPuc0qSX1k0HBrupgz5HZHOF47vNQ=
4kfe0k8bdk7knp1vufntffuvl4ge8n8r.zuerich.	900	in	nsec3	1 1 0 - 543VKU5NUU73A2JMO3MA1P99L8M0QAN6 NS DS RRSIG
4kfe0k8bdk7knp1vufntffuvl4ge8n8r.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. htDc8oDBrxtnXYxV8LL1QTqUltFWr+P0znrzc2Oajd1xuNMTDOi3LxfydBTNYB5yQXjEG82zpGowcsTRH0sOYPiatLpjntl5FfaPk9t9Yt/BYjMglF9dvPwzgP6eq6uZz8UptpmNnNDUxcIw1L+qApleXWBItCyqN41ysn8MzVs=
4quant.zuerich.	3600	in	ns	ns.hostpoint.ch.
4quant.zuerich.	3600	in	ns	ns2.hostpoint.ch.
4quant.zuerich.	3600	in	ns	ns3.hostpoint.ch.
543vku5nuu73a2jmo3ma1p99l8m0qan6.zuerich.	900	in	nsec3	1 1 0 - 5C18PVFK8ALG8PPMBSGMKSDJ3IPJ6FLC NS DS RRSIG
543vku5nuu73a2jmo3ma1p99l8m0qan6.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. wMqg7q/N9BTNUMyRk7la1Rb7b09aRTui3FBotiu5hFB2bkjuv1AGbU5QsAArHmtjuLJFVibPhadWo74pD1iNvdBoYv9K92dGFBu4kvFE6RpoLNRmUq/jB7OJbXEs70cBm0w4+WGg1YTG7UEPBbU/qpKzF0UxZiOs6wC8yCc+8Uk=
5c18pvfk8alg8ppmbsgmksdj3ipj6flc.zuerich.	900	in	nsec3	1 1 0 - 5H17CBO06M8F2JNBTJ60M9EHP34L2OSJ NS DS RRSIG
5c18pvfk8alg8ppmbsgmksdj3ipj6flc.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. JxfYB++yDMRFF0CuHvvWjwWRSEV89BcVBBdCHTGKJ6Q7si6fQLsvWrhc+HTZpojQqXSvDMtCvkOdFpKSF5rr5jwXesCLPF0cSv/CLK0upsgiFJ1SG4M8IinA/xDd7GTDR1qr4NXuXa/8q09JGcNJOu2WciS0M6gtsfBuKXKu4Eg=
5h17cbo06m8f2jnbtj60m9ehp34l2osj.zuerich.	900	in	nsec3	1 1 0 - 5I0G13QPO82DRSVGFDNATUNFUH60R5DH NS DS RRSIG
5h17cbo06m8f2jnbtj60m9ehp34l2osj.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. bvtDpDecfxflITchX2P+jRhCJvBfHuF7CniF0Q1xAzWCHLx1TDp1FbJhSIAp3TMfOyGkJgApk8CSFjK0xJ1Bs/oaNYyJ/kDWsM/VN3WdC8mwYnThwB2TJU0BApq8mge6XtTE8swV+wRQ9YQxPumrDXGB2iAdsAPSz3eRg7v4pIY=
5i0g13qpo82drsvgfdnatunfuh60r5dh.zuerich.	900	in	nsec3	1 1 0 - 5Q3LPD7299U953SB6LEGPTUPDBFO6T45 NS DS RRSIG
5i0g13qpo82drsvgfdnatunfuh60r5dh.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. k75wBR9O7zWeZyT25fOQHLaeArZUwGCvdVed3z87x/9bG26m/74NNILpfPQltokChm4/pR6oluamJghJ4dyE8nw6I6kAWQ0PB41nmwHTICzRL15LT5+GD04LtAGQfse7DYAh/vK6lptWJWXWlXLolsWIDIjdU79ORxrF02iJBpU=
